Generation,TotalFitness,BestFitness,,,Generation,TotalFitness,,,,,,,,,BestFitness
131,2356,114,,,131,2356,,,,,,,,,114
132,2188,112,,,132,2188,,,,,,,,,112
133,2418,252,,,133,2418,,,,,,,,,252
134,2326,116,,,134,2326,,,,,,,,,116
135,2781,239,,,135,2781,,,,,,,,,239
136,2363,123,,,136,2363,,,,,,,,,123
137,3204,348,,,137,3204,,,,,,,,,348
138,2372,179,,,138,2372,,,,,,,,,179
139,2767,249,,,139,2767,,,,,,,,,249
140,2378,125,,,140,2378,,,,,,,,,125
141,2750,213,,,141,2750,,,,,,,,,213
142,3711,300,,,142,3711,,,,,,,,,300
143,2787,177,,,143,2787,,,,,,,,,177
144,2199,110,,,144,2199,,,,,,,,,110
145,2761,215,,,145,2761,,,,,,,,,215
146,2348,235,,,146,2348,,,,,,,,,235
147,3747,425,,,147,3747,,,,,,,,,425
148,3301,175,,,148,3301,,,,,,,,,175
149,3952,533,,,149,3952,,,,,,,,,533
150,3505,185,,,150,3505,,,,,,,,,185
151,3182,349,,,151,3182,,,,,,,,,349
152,3074,233,,,152,3074,,,,,,,,,233
153,2893,176,,,153,2893,,,,,,,,,176
154,3297,333,,,154,3297,,,,,,,,,333
155,3136,167,,,155,3136,,,,,,,,,167
156,4104,468,,,156,4104,,,,,,,,,468
157,4007,401,,,157,4007,,,,,,,,,401
158,2708,185,,,158,2708,,,,,,,,,185
159,3079,118,,,159,3079,,,,,,,,,118
160,6544,1490,,,160,6544,,,,,,,,,1490
161,3085,155,,,161,3085,,,,,,,,,155
162,8866,1447,,,162,8866,,,,,,,,,1447
163,8821,1692,,,163,8821,,,,,,,,,1692
164,7902,1776,,,164,7902,,,,,,,,,1776
165,6198,1230,,,165,6198,,,,,,,,,1230
166,9672,1811,,,166,9672,,,,,,,,,1811
167,16843,2457,,,167,16843,,,,,,,,,2457
168,8282,1564,,,168,8282,,,,,,,,,1564
169,7300,1002,,,169,7300,,,,,,,,,1002
170,7558,848,,,170,7558,,,,,,,,,848
171,8096,1474,,,171,8096,,,,,,,,,1474
172,5852,459,,,172,5852,,,,,,,,,459
173,6590,1241,,,173,6590,,,,,,,,,1241
174,5758,383,,,174,5758,,,,,,,,,383
175,11110,2025,,,175,11110,,,,,,,,,2025
176,3570,337,,,176,3570,,,,,,,,,337
177,12450,1977,,,177,12450,,,,,,,,,1977
178,9822,1531,,,178,9822,,,,,,,,,1531
179,22821,3292,,,179,22821,,,,,,,,,3292
180,21941,2711,,,180,21941,,,,,,,,,2711
181,7190,365,,,181,7190,,,,,,,,,365
182,10970,1161,,,182,10970,,,,,,,,,1161
183,7540,1648,,,183,7540,,,,,,,,,1648
184,8574,1581,,,184,8574,,,,,,,,,1581
185,13043,1356,,,185,13043,,,,,,,,,1356
186,6941,662,,,186,6941,,,,,,,,,662
187,5520,343,,,187,5520,,,,,,,,,343
188,7680,1420,,,188,7680,,,,,,,,,1420
189,9114,1242,,,189,9114,,,,,,,,,1242
190,13001,1041,,,190,13001,,,,,,,,,1041
191,13875,1878,,,191,13875,,,,,,,,,1878
192,6235,778,,,192,6235,,,,,,,,,778
193,5565,530,,,193,5565,,,,,,,,,530
194,15537,1720,,,194,15537,,,,,,,,,1720
195,11448,1070,,,195,11448,,,,,,,,,1070
196,11336,2178,,,196,11336,,,,,,,,,2178
197,14437,853,,,197,14437,,,,,,,,,853
198,10684,997,,,198,10684,,,,,,,,,997
199,5018,394,,,199,5018,,,,,,,,,394
200,7513,1105,,,200,7513,,,,,,,,,1105
201,9742,538,,,201,9742,,,,,,,,,538
202,3582,216,,,202,3582,,,,,,,,,216
203,5557,597,,,203,5557,,,,,,,,,597
204,6149,593,,,204,6149,,,,,,,,,593
205,5572,280,,,205,5572,,,,,,,,,280
206,11043,701,,,206,11043,,,,,,,,,701
207,5490,469,,,207,5490,,,,,,,,,469
208,14208,2515,,,208,14208,,,,,,,,,2515
209,10525,1285,,,209,10525,,,,,,,,,1285
210,24072,4394,,,210,24072,,,,,,,,,4394
211,7002,522,,,211,7002,,,,,,,,,522
212,13989,3303,,,212,13989,,,,,,,,,3303
213,14070,1119,,,213,14070,,,,,,,,,1119
214,15370,1815,,,214,15370,,,,,,,,,1815
215,5088,411,,,215,5088,,,,,,,,,411
216,14040,1398,,,216,14040,,,,,,,,,1398
217,10835,2701,,,217,10835,,,,,,,,,2701
218,17284,1774,,,218,17284,,,,,,,,,1774
219,6082,710,,,219,6082,,,,,,,,,710
220,9048,1520,,,220,9048,,,,,,,,,1520
221,8801,773,,,221,8801,,,,,,,,,773
222,9046,975,,,222,9046,,,,,,,,,975
223,10349,1781,,,223,10349,,,,,,,,,1781
224,7311,404,,,224,7311,,,,,,,,,404
225,5881,900,,,225,5881,,,,,,,,,900
226,8147,1371,,,226,8147,,,,,,,,,1371
227,14180,2382,,,227,14180,,,,,,,,,2382
228,6182,425,,,228,6182,,,,,,,,,425
229,15554,2187,,,229,15554,,,,,,,,,2187
230,4926,296,,,230,4926,,,,,,,,,296
231,7618,814,,,231,7618,,,,,,,,,814
232,8338,1020,,,232,8338,,,,,,,,,1020
233,7792,865,,,233,7792,,,,,,,,,865
234,8816,808,,,234,8816,,,,,,,,,808
235,16165,1931,,,235,16165,,,,,,,,,1931
236,5166,416,,,236,5166,,,,,,,,,416
